LINKS,TITLE,CODE,LOCATION,PROPERTY TYPE,TYPE,PRICE,Area of Land,IMAGE URLS,Construction Area,FULL BATHROOM,PRIVACY,HALF BATHROOM
https://remax-central.com.sv/en/properties/for-sale-san-antonio-abad-1,FOR SALE SAN ANTONIO ABAD,V01-004094,San Antonio Abad,Residential,Sale,193000,161.15 ,"https://remax-central.com.sv/storage/properties/7s11gJoh0EEh9FV6flxf-thumb.png, https://remax-central.com.sv/storage/properties/emPk3n4ZLs7jCwEn7gCy-thumb.png, https://remax-central.com.sv/storage/properties/e07heRPKIPVGInHsQvq1-thumb.png, https://remax-central.com.sv/storage/properties/mpKASc9PEryA5vGtETce-thumb.png, https://remax-central.com.sv/storage/properties/YkPlPeWLIIbvwwGB6iDU-thumb.png, https://remax-central.com.sv/storage/properties/q1xUAvxfKK0jGu7PJdT2-thumb.png, https://remax-central.com.sv/storage/properties/SiHWCdyPLO4UHODDJbpr-thumb.png, https://remax-central.com.sv/storage/properties/0gbhyJxNfGhEQQs3Cyvt-thumb.png, https://remax-central.com.sv/storage/properties/bXfUBbROYNANwjcQGqzF-thumb.png, https://remax-central.com.sv/storage/properties/dJShNRfjWgyBrq3me8Iv-thumb.png, https://remax-central.com.sv/storage/properties/UPSq3vGnPG1h3SCW7wdZ-thumb.png",85.64 ,3,,½
https://remax-central.com.sv/en/properties/land-on-sale-at-barrio-la-cruz-san-jose-las-fuentes-la-union,"LAND ON SALE AT BARRIO LA CRUZ, SAN JOSE LA FUENTE, LA UNION",V15-004106,La Unión,Terrain,Sale,110000,2237.96 ,"https://remax-central.com.sv/storage/properties/RM28I7R7fYSRUIpGOpca-thumb.png, https://remax-central.com.sv/storage/properties/3e4bs12LOGE6tu7alYe3-thumb.png, https://remax-central.com.sv/storage/properties/NfIcq0OCVcQC9p3GIYRZ-thumb.png, https://remax-central.com.sv/storage/properties/Aap3VZy7lJzIDaW5An53-thumb.png, https://remax-central.com.sv/storage/properties/CoRDzWUgdbYgVXISElSr-thumb.png, https://remax-central.com.sv/storage/properties/y6wDcsiOqJGfCBAUYwIF-thumb.png, https://remax-central.com.sv/storage/properties/ri1g6wH62CIQ2QPxSnxR-thumb.png, https://remax-central.com.sv/storage/properties/bJJfnOS9fUkRl6HCDAjZ-thumb.png",1564.13 ,,,
https://remax-central.com.sv/en/properties/on-sale-corner-house-at-santa-rosa-de-lima-la-union,"ON SALE, CORNER HOUSE AT SANTA ROSA DE LIMA, LA UNION",V07-004092,La Unión,Commercial,Sale,850000,546.52 ,"https://remax-central.com.sv/storage/properties/1FRri56SvgaVJB0JRlFz-thumb.png, https://remax-central.com.sv/storage/properties/nHwYy8jgNm1R8SDvYFrl-thumb.png, https://remax-central.com.sv/storage/properties/5ZlPoX4tfGU980IMTehB-thumb.png, https://remax-central.com.sv/storage/properties/cuwQQquJZWWxwMsLSQkR-thumb.png, https://remax-central.com.sv/storage/properties/uso61tEUCrP2TorWvifn-thumb.png, https://remax-central.com.sv/storage/properties/YMgv84gcZvoPUxbW1yoC-thumb.png, https://remax-central.com.sv/storage/properties/i5PVeW2W8vUQqi9eM7LM-thumb.png, https://remax-central.com.sv/storage/properties/JisE8bi23JsXpNftY4aa-thumb.png",381.97 ,2,,
https://remax-central.com.sv/en/properties/on-sale-corner-house-at-santa-rosa-de-lima-la-union-1,"ON SALE, HOUSE NEXT TO CORNER HOUSE AT SANTA ROSA DE LIMA, LA UNION",V01-004099,Santa Rosa De Lima,Residential,Sale,675000,431.03 ,"https://remax-central.com.sv/storage/properties/ZuDh5PsaDMZI0n4kqt7j-thumb.png, https://remax-central.com.sv/storage/properties/ULcqeP2rKLwLH8kTkJC9-thumb.png, https://remax-central.com.sv/storage/properties/uAwINZsUETxmhmibJv71-thumb.png, https://remax-central.com.sv/storage/properties/TJh5Iu381BFXKbMt4L8L-thumb.png, https://remax-central.com.sv/storage/properties/kBpaG1vTeauRZzchVzPu-thumb.png, https://remax-central.com.sv/storage/properties/8PT8iExliXDYRzk3siPE-thumb.png, https://remax-central.com.sv/storage/properties/Gpktr8WkIeCFmli3O0b3-thumb.png, https://remax-central.com.sv/storage/properties/o2GnvGXp9zuuJEzTLq9g-thumb.png, https://remax-central.com.sv/storage/properties/jhfiRQiFA8DLcnT62304-thumb.png",301.25 ,2,,
https://remax-central.com.sv/en/properties/on-sale-house-next-to-corner-house-at-santa-rosa-de-lima-la-union,"ON SALE, AT 1A AVE SUR, SANTA ROSA DE LIMA, LA UNION",V01-004100,Santa Rosa De Lima,Residential,Sale,560000,233.99 ,"https://remax-central.com.sv/storage/properties/BM0Z2InONaFuTAIrjw2s-thumb.png, https://remax-central.com.sv/storage/properties/1CVv2J4cFaZYVrhoJhL2-thumb.png, https://remax-central.com.sv/storage/properties/Cq12YnoGtQKwR7st1lbw-thumb.png, https://remax-central.com.sv/storage/properties/pqtchuLpB9MiUu1yvG98-thumb.png, https://remax-central.com.sv/storage/properties/zmcBH0GBTkN8FKxb8mnA-thumb.png, https://remax-central.com.sv/storage/properties/e9zOOmnBO5efDC6VAzvg-thumb.png, https://remax-central.com.sv/storage/properties/lu1L4Vbk3H6HEP7kRf1p-thumb.png",163.54 ,2,,½
https://remax-central.com.sv/en/properties/143-m2-office-space-in-l-espace-calle-la-mascota/a,160 M2 Office space in L'Espace (Calle La Mascota),A07-003850,Colonia La Mascota,Commercial,Rent,,228 ,"https://remax-central.com.sv/storage/properties/S6NXmbfoPSDTbmghACvg-thumb.jpg, https://remax-central.com.sv/storage/properties/CVU0d2c3fVujtZoi5s21-thumb.jpg, https://remax-central.com.sv/storage/properties/yz93HNT4eDzxOIBTSGGp-thumb.jpg, https://remax-central.com.sv/storage/properties/fuftvp9DnnjXk0ncRSGj-thumb.jpg, https://remax-central.com.sv/storage/properties/xdtb5v512JntFg0yXDsO-thumb.jpg, https://remax-central.com.sv/storage/properties/PLtmRmtJnNWqOzOnG5BT-thumb.jpeg",160 ,,,
https://remax-central.com.sv/en/properties/plot-of-land-between-sensuntepeque-guacotecti,Plot of land between Sensuntepeque & Guacotecti,V15-004098,No Aplica,Terrain,Sale,74000,1301 ,"https://remax-central.com.sv/storage/properties/BrUb3UIxjUKwUUv5tXTd-thumb.png, https://remax-central.com.sv/storage/properties/mMe5PJwPUuj7Ka323ijc-thumb.png, https://remax-central.com.sv/storage/properties/tH8EOw1kJB1O0sUIzQrZ-thumb.png, https://remax-central.com.sv/storage/properties/s44WYHow88XTTeSVI5qv-thumb.png, https://remax-central.com.sv/storage/properties/g6gjfBq1k3NYXjB1KEiD-thumb.png",909 ,,,
https://remax-central.com.sv/en/properties/plot-of-land-with-fixer-upper-in-between-sensuntepeque-guacotecti,Plot of land with fixer upper in between Sensuntepeque & Guacotecti,V01-004097,No Aplica,Residential,Sale,144000,2198 ,"https://remax-central.com.sv/storage/properties/BWY1Imh3O1I8Q5D8dYJo-thumb.png, https://remax-central.com.sv/storage/properties/Ced7dtC3zvg22aQS67Yr-thumb.png, https://remax-central.com.sv/storage/properties/dHS4dXKLOpXKgPR2jPh4-thumb.png, https://remax-central.com.sv/storage/properties/RpVMWMPqaPUrvfHfScbc-thumb.png, https://remax-central.com.sv/storage/properties/klczoiSORJTztKc2YeT2-thumb.png, https://remax-central.com.sv/storage/properties/gETZXdJcnMOLE5hXnWSE-thumb.png, https://remax-central.com.sv/storage/properties/alTiLkHCoQVqNk0WdqiH-thumb.png, https://remax-central.com.sv/storage/properties/oP0yiu86AAqJAqaYmOrA-thumb.png, https://remax-central.com.sv/storage/properties/0ISuFNqwpErvsH5Igooj-thumb.png, https://remax-central.com.sv/storage/properties/iUkM34Zuk0RaQ3LlbLO5-thumb.png",1536 ,,,
https://remax-central.com.sv/en/properties/house-for-sale-in-barrio-san-antonio-santa-ana,"HOUSE FOR SALE IN BARRIO SAN ANTONIO, SANTA ANA",V01-004078,Santa Ana,Residential,Sale,75000,235.5 ,"https://remax-central.com.sv/storage/properties/UpKZjxrwTVNzJpaz2rlU-thumb.png, https://remax-central.com.sv/storage/properties/lcPoIqyz9ViGsgNRRVy0-thumb.png, https://remax-central.com.sv/storage/properties/GGsfl6lTDtbpKabIHlbW-thumb.png, https://remax-central.com.sv/storage/properties/vMmqUS2jbdLbIQw8pvTL-thumb.png, https://remax-central.com.sv/storage/properties/MU2OIMDenUF6ZU2DPqNQ-thumb.png, https://remax-central.com.sv/storage/properties/g3E1Af4DhAKkxhaqgYYs-thumb.png",43.35 ,1,,
https://remax-central.com.sv/en/properties/land-for-sale-in-playa-san-diego-la-libertad,LAND FOR SALE IN PLAYA SAN DIEGO LA LIBERTAD,V15-004093,San Diego,Terrain,Sale,197000,7827.19 ,"https://remax-central.com.sv/storage/properties/8nZd7ILfVVbDKjupR6WP-thumb.png, https://remax-central.com.sv/storage/properties/U6cmcfJT7obzX0nABe43-thumb.png, https://remax-central.com.sv/storage/properties/DRUeqER8RLtAhDlgdkQJ-thumb.png, https://remax-central.com.sv/storage/properties/prTNUAzbKT3GvslLRV47-thumb.png, https://remax-central.com.sv/storage/properties/wrcSGb1igQmahKMoOB91-thumb.png, https://remax-central.com.sv/storage/properties/AgBwUULM3eH8lw8zKkUl-thumb.png, https://remax-central.com.sv/storage/properties/ObnJDeCPv69FTXuvdAh1-thumb.png, https://remax-central.com.sv/storage/properties/aFlWtExBeXSMIW2yJt73-thumb.png, https://remax-central.com.sv/storage/properties/3USDbDCKck31oSmyNbVg-thumb.png, https://remax-central.com.sv/storage/properties/mrLweaZGARCWEcbPesuJ-thumb.png",,,,
